iter	RMSE
0	0.02349645663
1	0.02310266991
2	0.0227814864
3	0.02233164023
4	0.02192212
5	0.02157503706
6	0.02114463648
7	0.02085334458
8	0.02050666484
9	0.0199785988
10	0.01963534188
11	0.01933095569
12	0.01895924698
13	0.01861110152
14	0.01825401495
15	0.0180483817
16	0.01773009784
17	0.01737924174
18	0.01711999405
19	0.01688204517
20	0.0165748937
21	0.01620114354
22	0.01600024684
23	0.01573636449
24	0.01543209171
25	0.01513776226
26	0.01500922248
27	0.01479016821
28	0.0145117916
29	0.01425149549
30	0.01396782967
31	0.01368422526
32	0.01347900516
33	0.0132257996
34	0.01304529577
35	0.01282835889
36	0.012668806
37	0.01248512981
38	0.01228074039
39	0.01212164229
40	0.01181083367
41	0.01162633227
42	0.01147786693
43	0.01127471492
44	0.01114482802
45	0.01089006809
46	0.01064679585
47	0.0105179391
48	0.01034898874
49	0.01018223258
50	0.01007178368
51	0.009948498201
52	0.009813482736
53	0.009712260822
54	0.00954971448
55	0.009344190478
56	0.009128473595
57	0.009011600949
58	0.008907996229
59	0.00875479693
60	0.008646420544
61	0.008567858595
62	0.008247162303
63	0.008160173122
64	0.008067108738
65	0.007862184133
66	0.007629967778
67	0.007551749719
68	0.007447189181
69	0.007370118777
70	0.007261580367
71	0.007181390029
72	0.006880080911
73	0.00663976347
74	0.006553054516
75	0.006460978707
76	0.006255774072
77	0.006172980318
78	0.005966810827
79	0.005779191361
80	0.005602190823
81	0.005542255754
82	0.005371841203
83	0.005200065538
84	0.005143802593
85	0.00497481062
86	0.0047932662
87	0.004743255058
88	0.004601103107
89	0.004493448883
90	0.004389519778
91	0.004258333692
92	0.004214497221
93	0.004171616459
94	0.004077020262
95	0.00398572771
96	0.003859324292
97	0.003821393309
98	0.003719665737
99	0.003597343766
100	0.003502016789
101	0.003468287012
102	0.003358792334
103	0.003249300558
104	0.003159112225
105	0.003062203611
106	0.002953603044
107	0.002867294682
108	0.002799504613
109	0.002721060224
110	0.002638185621
111	0.002578962096
112	0.002522665132
113	0.00244992871
114	0.002386455971
115	0.002308134353
116	0.002234598723
117	0.002162433324
118	0.002090481332
119	0.002040188436
120	0.001989408881
121	0.001969112569
122	0.00194971062
123	0.001902079216
124	0.001884044155
125	0.001838849089
126	0.001785710974
127	0.001765073353
128	0.001723220855
129	0.001685735902
130	0.001630782912
131	0.001617221592
132	0.001571181908
133	0.001523209886
134	0.001511236483
135	0.001466284676
136	0.00145495912
137	0.00140893404
138	0.001368289512
139	0.001357965476
140	0.001322595364
141	0.00131170416
142	0.001277861422
143	0.001268769854
144	0.001231003486
145	0.001199902157
146	0.001167446988
147	0.001133866214
148	0.001114868257
149	0.001106969083
150	0.001076632508
151	0.001049400222
152	0.001026478902
153	0.0009955802752
154	0.0009699971678
155	0.0009417326148
156	0.0009140172595
157	0.0008833670199
158	0.000861224062
159	0.0008364430476
160	0.0008156875507
161	0.0007960339359
162	0.0007841422434
163	0.0007731116216
164	0.0007494178263
165	0.0007445667737
166	0.0007343174824
167	0.000712917627
168	0.0007087113915
169	0.000688468139
170	0.0006831942294
171	0.0006621433403
172	0.0006583056071
173	0.0006420874664
174	0.0006314800043
175	0.0006152492488
176	0.0005991977798
177	0.0005843743033
178	0.0005702828149
179	0.0005549999632
180	0.0005436115675
181	0.0005327592215
182	0.0005202337532
183	0.0005106932587
184	0.0005015443242
185	0.0004927710692
186	0.0004786793698
187	0.0004625317369
188	0.0004537704037
189	0.000441763208
190	0.0004343384214
191	0.0004195153979
192	0.0004065234621
193	0.0003934594661
194	0.0003873375661
195	0.0003799825922
196	0.0003742260491
197	0.0003658368826
198	0.000354848923
199	0.0003442027405
200	0.0003338171035
201	0.0003277930123
202	0.0003184917654
203	0.0003114253274
204	0.00030674692
205	0.0003002776885
206	0.0002940626191
207	0.0002906733766
208	0.0002828638663
209	0.000278861684
210	0.0002713105695
211	0.0002640282505
212	0.0002570344933
213	0.0002503122165
214	0.0002438246684
215	0.0002375636469
216	0.0002315212831
217	0.0002263283898
218	0.0002204777943
219	0.0002146968137
220	0.0002099379268
221	0.0002044798109
222	0.0001992897265
223	0.0001930711739
224	0.0001880951147
225	0.0001839744525
226	0.0001799779921
227	0.0001753815581
228	0.0001714414212
229	0.0001677623236
230	0.000163526512
231	0.000158700883
232	0.0001538201121
233	0.0001499849283
234	0.000146647836
235	0.0001422467284
236	0.0001379560355
237	0.0001350387159
